param: W C :=
  1  1        0.0     0.0000
  1  2     6469.0   576.9631
  1  3     7629.0   946.4954
  1  4    20036.0   597.5972
  1  5     4690.0   373.8127
  1  6     6194.0   559.7673
  1  7    11688.0   709.0215
  1  8     2243.0  1208.3280
  1  9     8857.0   603.6477
  1 10     7248.0   695.2080
  2  1     6469.0   576.9631
  2  2        0.0     0.0000
  2  3    12999.0   369.5327
  2  4    13692.0   613.0386
  2  5     3322.0   429.1079
  2  6     5576.0   312.8831
  2  7     3878.0  1196.4890
  2  8     3202.0  1502.1400
  2  9     6699.0   405.8975
  2 10     4198.0  1241.9610
  3  1     7629.0   946.4954
  3  2    12999.0   369.5327
  3  3        0.0     0.0000
  3  4    35135.0   858.3308
  3  5     5956.0   749.6018
  3  6    14121.0   556.0706
  3  7     5951.0  1541.2730
  3  8     5768.0  1764.7910
  3  9    16578.0   621.3306
  3 10     4242.0  1603.1650
  4  1    20036.0   597.5972
  4  2    13692.0   613.0386
  4  3    35135.0   858.3308
  4  4        0.0     0.0000
  4  5    19094.0   255.0303
  4  6    35119.0   311.3071
  4  7    21423.0   790.1213
  4  8    27342.0   907.4331
  4  9    51341.0   237.0703
  4 10    15826.0   932.2173
  5  1     4690.0   373.8127
  5  2     3322.0   429.1079
  5  3     5956.0   749.6018
  5  4    19094.0   255.0303
  5  5        0.0     0.0000
  5  6     7284.0   225.8954
  5  7     3102.0   794.1726
  5  8     1562.0  1080.3740
  5  9     7180.0   238.9440
  5 10     1917.0   879.5647
  6  1     6194.0   559.7673
  6  2     5576.0   312.8831
  6  3    14121.0   556.0706
  6  4    35119.0   311.3071
  6  5     7284.0   225.8954
  6  6        0.0     0.0000
  6  7     5023.0  1009.6890
  6  8     3512.0  1216.8680
  6  9    10419.0    94.2588
  6 10     3543.0  1104.5740
  7  1    11688.0   709.0215
  7  2     3878.0  1196.4890
  7  3     5951.0  1541.2730
  7  4    21423.0   790.1213
  7  5     3102.0   794.1726
  7  6     5023.0  1009.6890
  7  7        0.0     0.0000
  7  8    11557.0   663.8762
  7  9     6479.0   982.7378
  7 10    34261.0   221.4220
  8  1     2243.0  1208.3280
  8  2     3202.0  1502.1400
  8  3     5768.0  1764.7910
  8  4    27342.0   907.4331
  8  5     1562.0  1080.3740
  8  6     3512.0  1216.8680
  8  7    11557.0   663.8762
  8  8        0.0     0.0000
  8  9     5615.0  1143.7910
  8 10     7095.0   874.5181
  9  1     8857.0   603.6477
  9  2     6699.0   405.8975
  9  3    16578.0   621.3306
  9  4    51341.0   237.0703
  9  5     7180.0   238.9440
  9  6    10419.0    94.2588
  9  7     6479.0   982.7378
  9  8     5615.0  1143.7910
  9  9        0.0     0.0000
  9 10     4448.0  1094.9060
 10  1     7248.0   695.2080
 10  2     4198.0  1241.9610
 10  3     4242.0  1603.1650
 10  4    15826.0   932.2173
 10  5     1917.0   879.5647
 10  6     3543.0  1104.5740
 10  7    34261.0   221.4220
 10  8     7095.0   874.5181
 10  9     4448.0  1094.9060
 10 10        0.0     0.0000
